Entity	QRank	species	speciesLabel	unit	unitLabel	maxMass
Q829683	353258	http://www.wikidata.org/entity/Q829683	Northern Mockingbird	http://www.wikidata.org/entity/Q41803	gram	48.0
Q244813	352803	http://www.wikidata.org/entity/Q244813	African Penguin	http://www.wikidata.org/entity/Q41803	gram	103.0
Q281008	347223	http://www.wikidata.org/entity/Q281008	degu	http://www.wikidata.org/entity/Q41803	gram	14.0
Q187958	346691	http://www.wikidata.org/entity/Q187958	Adelie penguin	http://www.wikidata.org/entity/Q11570	gram	5350.0
Q930712	341616	http://www.wikidata.org/entity/Q930712	Pileated Woodpecker	http://www.wikidata.org/entity/Q41803	gram	11.0
Q192421	334407	http://www.wikidata.org/entity/Q192421	margay	http://www.wikidata.org/entity/Q41803	gram	105.0
Q25612	325236	http://www.wikidata.org/entity/Q25612	Whooper Swan	http://www.wikidata.org/entity/Q11570	gram	14000.0
Q38675	320307	http://www.wikidata.org/entity/Q38675	Komondor	http://www.wikidata.org/entity/Q11570	gram	60000.0
Q168677	314039	http://www.wikidata.org/entity/Q168677	Eurasian Black Vulture	http://www.wikidata.org/entity/Q41803	gram	243.0
Q131709	313289	http://www.wikidata.org/entity/Q131709	Little Egret	http://www.wikidata.org/entity/Q41803	gram	532.0
Q220271	306978	http://www.wikidata.org/entity/Q220271	South American tapir	http://www.wikidata.org/entity/Q11570	gram	200000.0
Q333796	299788	http://www.wikidata.org/entity/Q333796	Great Blue Heron	http://www.wikidata.org/entity/Q11570	gram	2480.0
Q25928	299048	http://www.wikidata.org/entity/Q25928	Eurasian Oystercatcher	http://www.wikidata.org/entity/Q41803	gram	518.0
Q824974	294520	http://www.wikidata.org/entity/Q824974	Laughing Kookaburra	http://www.wikidata.org/entity/Q41803	gram	352.1
Q1140949	290520	http://www.wikidata.org/entity/Q1140949	Australian Magpie	http://www.wikidata.org/entity/Q41803	gram	300.0
Q1130274	285082	http://www.wikidata.org/entity/Q1130274	Vespula germanica	http://www.wikidata.org/entity/Q3241121	milligram	74.1
Q756063	284754	http://www.wikidata.org/entity/Q756063	Ivory-billed Woodpecker	http://www.wikidata.org/entity/Q41803	gram	13.0
Q33504	280070	http://www.wikidata.org/entity/Q33504	Egyptian Vulture	http://www.wikidata.org/entity/Q11570	gram	1977.0
Q26607	279751	http://www.wikidata.org/entity/Q26607	Spotted Flycatcher	http://www.wikidata.org/entity/Q41803	gram	1.92
Q368495	278133	http://www.wikidata.org/entity/Q368495	striped skunk	http://www.wikidata.org/entity/Q41803	gram	33.5
Q26800	277997	http://www.wikidata.org/entity/Q26800	Arctic Tern	http://www.wikidata.org/entity/Q41803	gram	114.0
Q203628	277817	http://www.wikidata.org/entity/Q203628	Little Penguin	http://www.wikidata.org/entity/Q11570	gram	1244.0
Q206130	274721	http://www.wikidata.org/entity/Q206130	Thrush Nightingale	http://www.wikidata.org/entity/Q41803	gram	3.06
Q215250	272711	http://www.wikidata.org/entity/Q215250	Gray fox	http://www.wikidata.org/entity/Q41803	gram	86.0
Q165974	271726	http://www.wikidata.org/entity/Q165974	Saker Falcon	http://www.wikidata.org/entity/Q11570	gram	1130.0
Q431981	269295	http://www.wikidata.org/entity/Q431981	Steller's sea lion	http://www.wikidata.org/entity/Q11570	gram	19500.0
Q4535	265091	http://www.wikidata.org/entity/Q4535	Baikal seal	http://www.wikidata.org/entity/Q11570	gram	90000.0
Q300981	264882	http://www.wikidata.org/entity/Q300981	Desmodus rotundus	http://www.wikidata.org/entity/Q41803	gram	32.5
Q204061	264451	http://www.wikidata.org/entity/Q204061	Viviparous lizard	http://www.wikidata.org/entity/Q41803	gram	5.61
Q27442	262954	http://www.wikidata.org/entity/Q27442	European Pied Flycatcher	http://www.wikidata.org/entity/Q41803	gram	12.0
Q26427	262491	http://www.wikidata.org/entity/Q26427	Common Gull	http://www.wikidata.org/entity/Q41803	gram	413.0
Q168976	261850	http://www.wikidata.org/entity/Q168976	Imperial Eagle	http://www.wikidata.org/entity/Q11570	gram	3845.0
Q335113	258883	http://www.wikidata.org/entity/Q335113	Golden Pheasant	http://www.wikidata.org/entity/Q41803	gram	725.0
Q131918	256903	http://www.wikidata.org/entity/Q131918	Merlin	http://www.wikidata.org/entity/Q41803	gram	212.0
Q213021	256036	http://www.wikidata.org/entity/Q213021	Gentoo Penguin	http://www.wikidata.org/entity/Q41803	gram	136.0
Q180991	254433	http://www.wikidata.org/entity/Q180991	common merganser	http://www.wikidata.org/entity/Q11570	gram	1709.0
Q25692	253913	http://www.wikidata.org/entity/Q25692	Common Snipe	http://www.wikidata.org/entity/Q41803	gram	128.0
Q193593	253265	http://www.wikidata.org/entity/Q193593	Eurasian Treecreeper	http://www.wikidata.org/entity/Q41803	gram	9.95
Q194043	252113	http://www.wikidata.org/entity/Q194043	Chukar Partridge	http://www.wikidata.org/entity/Q41803	gram	650.0
Q216815	251710	http://www.wikidata.org/entity/Q216815	common eland	http://www.wikidata.org/entity/Q11570	gram	30000.0
Q202804	249950	http://www.wikidata.org/entity/Q202804	Great Kiskadee	http://www.wikidata.org/entity/Q41803	gram	74.0
Q26696	248821	http://www.wikidata.org/entity/Q26696	common eider	http://www.wikidata.org/entity/Q11570	gram	2218.0
