Entity	QRank	island	islandLabel	No_islandArea	unitLabel
Q505935	186477	http://www.wikidata.org/entity/Q505935	Gough Island	91000000.0	square metre
Q26503	186026	http://www.wikidata.org/entity/Q26503	Funen	2984560000.0	square metre
Q277552	183728	http://www.wikidata.org/entity/Q277552	Majuli	421650000.0	square metre
Q343902	180718	http://www.wikidata.org/entity/Q343902	İmralı	13320000.0	square metre
Q658437	180681	http://www.wikidata.org/entity/Q658437	Imbros	279000000.0	square metre
Q914907	180267	http://www.wikidata.org/entity/Q914907	Khortytsia	23590000.0	square metre
Q475743	179898	http://www.wikidata.org/entity/Q475743	Tori-shima	4780000.0	square metre
Q858513	179857	http://www.wikidata.org/entity/Q858513	New Providence	207000000.0	square metre
Q1636839	179840	http://www.wikidata.org/entity/Q1636839	Roanoke Island	46480000.0	square metre
Q1187278	179805	http://www.wikidata.org/entity/Q1187278	Nishinoshima	2890000.0	square metre
Q774215	179345	http://www.wikidata.org/entity/Q774215	Isle of Portland	11500000.0	square metre
Q20795448	177690	http://www.wikidata.org/entity/Q20795448	Runit	436000.0	square metre
Q208587	177663	http://www.wikidata.org/entity/Q208587	Amorgos	126346000.0	square metre
Q110440	177493	http://www.wikidata.org/entity/Q110440	Boa Vista	620000000.0	square metre
Q696228	177148	http://www.wikidata.org/entity/Q696228	Tanegashima	444300000.0	square metre
Q700946	176352	http://www.wikidata.org/entity/Q700946	Miyako Island	158870000.0	square metre
Q40411	174623	http://www.wikidata.org/entity/Q40411	Moyenne Island	89000.0	square metre
Q318446	174100	http://www.wikidata.org/entity/Q318446	Moruroa	15000000.0	square metre
Q62218	173550	http://www.wikidata.org/entity/Q62218	Jarvis Island	4750000.0	square metre
Q525940	173360	http://www.wikidata.org/entity/Q525940	Ko Tao	21000000.0	square metre
Q541157	172903	http://www.wikidata.org/entity/Q541157	Goli otok	4540000.0	square metre
Q845540	172525	http://www.wikidata.org/entity/Q845540	San Salvador Island	163000000.0	square metre
Q130895	172137	http://www.wikidata.org/entity/Q130895	Kingman Reef	12000.0	square metre
Q148505	171819	http://www.wikidata.org/entity/Q148505	Wolin	265000000.0	square metre
Q46650	171566	http://www.wikidata.org/entity/Q46650	Macquarie Island	128000000.0	square metre
Q1137207	171075	http://www.wikidata.org/entity/Q1137207	Zhenbao Island	740000.0	square metre
