Entity	QRank	item	itemLabel	unitLabel	unit	maxHeight
Q680614	253627	http://www.wikidata.org/entity/Q680614	30 Rockefeller Plaza	metre	http://www.wikidata.org/entity/Q11573	259.0
Q212834	250001	http://www.wikidata.org/entity/Q212834	20 Fenchurch Street	metre	http://www.wikidata.org/entity/Q11573	160.0
Q745016	247200	http://www.wikidata.org/entity/Q745016	Kuala Lumpur Tower	metre	http://www.wikidata.org/entity/Q11573	421.0
Q109648853	229792	http://www.wikidata.org/entity/Q109648853	270 Park Avenue	metre	http://www.wikidata.org/entity/Q11573	423.0
Q336246	224399	http://www.wikidata.org/entity/Q336246	Torre Glòries	metre	http://www.wikidata.org/entity/Q11573	144.0
Q278380	224251	http://www.wikidata.org/entity/Q278380	Fontainebleau Las Vegas	metre	http://www.wikidata.org/entity/Q11573	224.0
Q216865	220178	http://www.wikidata.org/entity/Q216865	Transamerica Pyramid	metre	http://www.wikidata.org/entity/Q11573	260.0
Q223207	219818	http://www.wikidata.org/entity/Q223207	Oriental Pearl Tower	metre	http://www.wikidata.org/entity/Q11573	259.0
Q14684154	219801	http://www.wikidata.org/entity/Q14684154	Salesforce Tower	metre	http://www.wikidata.org/entity/Q11573	326.0
Q16318627	210277	http://www.wikidata.org/entity/Q16318627	Abeno Harukas	metre	http://www.wikidata.org/entity/Q11573	300.0
Q80852	204836	http://www.wikidata.org/entity/Q80852	Shanghai World Financial Center	metre	http://www.wikidata.org/entity/Q11573	492.0
Q464482	203269	http://www.wikidata.org/entity/Q464482	MetLife Building	metre	http://www.wikidata.org/entity/Q11573	246.0
Q656743	202256	http://www.wikidata.org/entity/Q656743	Kingdom Centre	metre	http://www.wikidata.org/entity/Q11573	302.0
Q737484	201656	http://www.wikidata.org/entity/Q737484	Seagram Building	metre	http://www.wikidata.org/entity/Q11573	157.0
Q317034	189623	http://www.wikidata.org/entity/Q317034	International Commerce Centre	metre	http://www.wikidata.org/entity/Q11573	484.0
Q15264266	189351	http://www.wikidata.org/entity/Q15264266	30 Hudson Yards	metre	http://www.wikidata.org/entity/Q11573	395.0
Q651362	187769	http://www.wikidata.org/entity/Q651362	Singer Building	metre	http://www.wikidata.org/entity/Q11573	187.0
Q1033099	183979	http://www.wikidata.org/entity/Q1033099	Grand Lisboa	metre	http://www.wikidata.org/entity/Q11573	261.0
Q1138183	175295	http://www.wikidata.org/entity/Q1138183	Philadelphia City Hall	metre	http://www.wikidata.org/entity/Q11573	167.0
Q620809	170749	http://www.wikidata.org/entity/Q620809	Palais Royale	metre	http://www.wikidata.org/entity/Q11573	320.0
Q587108	170387	http://www.wikidata.org/entity/Q587108	Yokohama Landmark Tower	metre	http://www.wikidata.org/entity/Q11573	295.8
Q1077308	154450	http://www.wikidata.org/entity/Q1077308	Ping An Finance Centre	metre	http://www.wikidata.org/entity/Q11573	599.05
Q941908	152677	http://www.wikidata.org/entity/Q941908	3 World Trade Center	metre	http://www.wikidata.org/entity/Q11573	328.9
Q1351208	151801	http://www.wikidata.org/entity/Q1351208	4 World Trade Center	metre	http://www.wikidata.org/entity/Q11573	297.7
Q22329554	147069	http://www.wikidata.org/entity/Q22329554	The Brooklyn Tower	metre	http://www.wikidata.org/entity/Q11573	325.0
Q192680	145972	http://www.wikidata.org/entity/Q192680	New York Times Building	metre	http://www.wikidata.org/entity/Q11573	318.8
Q1156708	145234	http://www.wikidata.org/entity/Q1156708	The Venetian Macao	metre	http://www.wikidata.org/entity/Q11573	151.0
Q25452628	144855	http://www.wikidata.org/entity/Q25452628	Mohammed VI Tower	metre	http://www.wikidata.org/entity/Q11573	250.0
Q125846	144427	http://www.wikidata.org/entity/Q125846	Q1 Tower	metre	http://www.wikidata.org/entity/Q11573	322.0
Q80813	141717	http://www.wikidata.org/entity/Q80813	Jin Mao Tower	metre	http://www.wikidata.org/entity/Q11573	421.0
Q503477	140966	http://www.wikidata.org/entity/Q503477	One Canada Square	metre	http://www.wikidata.org/entity/Q11573	240.0
Q214855	138878	http://www.wikidata.org/entity/Q214855	Bank of China Tower	metre	http://www.wikidata.org/entity/Q11573	367.4
Q151765	138276	http://www.wikidata.org/entity/Q151765	Commerzbank Tower	metre	http://www.wikidata.org/entity/Q11573	300.1
Q652452	135016	http://www.wikidata.org/entity/Q652452	Metropolitan Life Insurance Company Tower	metre	http://www.wikidata.org/entity/Q11573	213.0
Q57900	134940	http://www.wikidata.org/entity/Q57900	U.S. Bank Tower	metre	http://www.wikidata.org/entity/Q11573	310.3
Q632566	134435	http://www.wikidata.org/entity/Q632566	Edifício Copan	metre	http://www.wikidata.org/entity/Q11573	118.43
Q1509747	134026	http://www.wikidata.org/entity/Q1509747	Tour First	metre	http://www.wikidata.org/entity/Q11573	231.0
Q602942	132190	http://www.wikidata.org/entity/Q602942	Sunshine 60	metre	http://www.wikidata.org/entity/Q11573	239.7
Q2740354	131321	http://www.wikidata.org/entity/Q2740354	Sky Tower	metre	http://www.wikidata.org/entity/Q11573	212.0
Q109703244	129773	http://www.wikidata.org/entity/Q109703244	Azabudai Hills Mori JP Tower	metre	http://www.wikidata.org/entity/Q11573	325.2
Q391243	128466	http://www.wikidata.org/entity/Q391243	Citigroup Center	metre	http://www.wikidata.org/entity/Q11573	279.0
Q119942	126456	http://www.wikidata.org/entity/Q119942	X-Seed 4000	metre	http://www.wikidata.org/entity/Q11573	4000.0
