foodLabel	Sweet_Mean	STD	Salty_Mean	STD	Sour_Mean	STD	Bitter_Mean	STD	Umami_Mean	STD	Fat_Mean	STD
fruit tart	3.59	0.15	0.46	0.07	2.6	0.19	0.57	0.09	0.08	0.03	2.06	0.16
fruit-flavoured beer	0.5	-	0	-	0	-	2.1	-	0	-	0	-
lambic beer	2.4	0	0	0	3.7	0.59	2.07	0.38	0	0	0	0
garlic sausage	0.68	0.17	2.81	0.25	1.01	0.25	0.84	0.23	1.47	0.23	2.79	0.45
gingerbread	4.36	0.42	0.83	0.18	0.53	0.21	0.75	0.2	0.35	0.15	2.09	0.65
gizzards	0.95	0.13	2.88	0.19	0.53	0.29	0.15	0.09	1.18	0.17	1.85	0.3
gnocchi	0.67	0.23	2.73	0.39	0.14	0.11	0.08	0.08	0.67	0.24	2.29	0.39
gorgonzola cheese	0	-	4.2	-	3.4	-	2.4	-	1.2	-	4.4	-
gouda cheese	0.17	0.12	4.03	0.29	0.29	0.1	0.46	0.27	0.29	0.13	3.84	0.6
dried grape	4.3	-	0.4	-	1.8	-	1	-	0	-	2	-
grape juice	3.67	0.52	0.13	0.13	2.07	0.48	0.87	0.43	0	0	0.5	0.29
grapefruit	1.39	0.17	0.03	0.02	2.58	0.44	2.49	0.44	0.39	0.21	0.02	0.01
grapefruit with sugar	3.08	0.74	0.08	0.08	4.4	0.67	2.64	0.8	0.42	0.4	0.38	0.2
grapefruit juice	3.33	0.51	0.15	0.1	3.88	0.58	4.33	0.38	0.03	0.03	0.03	0.03
green beans 	0.6	0.25	1	0.34	0.88	0.3	0.58	0.25	0.45	0.28	0.45	0.12
green beans with fat	1.05	0.05	0.65	0.05	1.15	0.15	1.5	0.5	0	0	1.15	0.05
green beans with salt and fat	0.8	0.09	3.03	0.11	0.8	0.11	0.73	0.09	0.76	0.08	1.79	0.09
green beans with salt	0.61	0.19	2.36	0.19	0.99	0.23	0.84	0.16	0.66	0.23	0.56	0.12
cooked green cabbage	0.27	0.16	2.19	0.38	1.41	0.23	1.04	0.2	0.96	0.22	0.9	0.24
green cabbage with vinaigrette	0.9	0.15	2.37	1.01	2.57	0.27	1.07	0.03	1.1	0.38	2.37	1.2
gruyère cheese	0.3	-	3.5	-	1.8	-	0.8	-	1	-	2.9	-
gougère	0.39	0.22	3.2	0.31	0.36	0.18	0.23	0.14	0.91	0.19	2.06	0.4
guacamole	0	-	4.8	-	0	-	0	-	3.6	-	4.1	-
roast guinea fowl 	0.07	0.07	2.13	0.12	1.07	0.07	0.73	0.07	1.37	0.16	2.05	0.21
breaded hake 	0.07	0.06	3.84	0.16	0.14	0.13	0.3	0.28	3.57	0.53	3.93	0.3
grilled hake 	0	-	3.7	-	0	-	0	-	4.5	-	2	-
grilled hake with lemon juice	0.27	0.27	3.87	0.18	2.9	0.06	0.33	0.33	4.47	0.3	2.57	0.2
hake in tinfoil	0.1	-	2.9	-	0.9	-	0	-	0	-	3.9	-
hake with sauce	0.86	0.16	2.26	0.33	0.7	0.18	0.43	0.12	1.75	0.45	1.61	0.25
croque-monsieur	0.81	0.21	3.86	0.19	0.36	0.16	0.15	0.09	1.54	0.14	3.54	0.35
ham with parsley	0.77	0.16	3.87	0.15	1.62	0.42	0.5	0.33	1.92	0.29	2.97	0.18
hamburger	1.34	0.37	2.55	0.43	0.65	0.27	0.68	0.18	1.09	0.2	1.83	0.18
hard boiled eggs	0.2	0.12	0.58	0.2	0.2	0.12	0.35	0.24	0.2	0.12	0.8	0.14
hard boiled eggs with mayonnaise	1.14	0.33	2.71	0.29	1.57	0.37	0.29	0.16	1.47	0.31	3.11	0.27
hard boiled eggs with salt	0.68	0.13	2.01	0.45	0.26	0.15	0.31	0.13	0.69	0.15	1.29	0.24
hard boiled eggs with vinaigrette	0.68	0.16	1.28	0.41	0.72	0.27	0.6	0.15	0.6	0.17	1.32	0.23
hazelnut 	0.93	0.03	0.43	0.03	0.4	0.2	1.4	0.25	0.53	0.43	1.03	0.07
herb tea	0	0	0	0	1	0.42	0.77	0.24	0.5	0.25	0.2	0.2
herb teas with sugar	2.2	0.26	0.05	0.02	0.24	0.11	0.53	0.14	0.03	0.01	0.03	0.01
herrings	0.08	0.08	3.26	0.62	1.04	0.18	0.78	0.09	1.84	0.25	2.44	0.52
raw horseradish with salt	0.07	0.07	2.98	0.21	1.9	0.24	1.25	0.18	0.32	0.19	0.4	0.3
hot dog	1	0.32	3	0.44	1.58	0.46	0.93	0.21	2.5	0.18	2.1	0.21
hot drink made from chicory with sugar	2.3	0.2	0.65	0.15	0.9	0.5	2.15	0.55	0	0	1.25	0.55
ice cream	4.16	0.15	0.11	0.04	0.93	0.17	0.62	0.11	0.12	0.04	2.39	0.18
ice cream bars	5.07	0.41	0.2	0.1	1.23	0.47	1.07	0.12	0	0	2.97	0.39
kebab	0.6	0.2	3.4	0.4	0.5	0.1	0	0	2	1.1	3.55	0.85
kidneys with gravy	0.3	0.11	2.77	0.21	1.54	0.17	0.91	0.17	1.66	0.21	2.3	0.22
Kiri cheese	0.07	0.05	2.94	0.24	2.44	0.2	1.14	0.26	1.26	0.29	2.77	0.3
dried kiwi	3.7	-	0.4	-	1.7	-	0.3	-	0	-	1.8	-
kiwi	2.15	0.19	0.02	0.01	2.81	0.3	0.52	0.14	0.1	0.04	0.1	0.05
kouign-amann cake	4.47	1.13	0.6	0.46	0.03	0.03	0	0	0	0	8.37	0.79
lamb with gravy	0.56	0.25	2.67	0.33	1.09	0.26	0.56	0.17	1.8	0.48	3.1	0.48
roast lamb 	0.34	0.08	2.32	0.25	0.86	0.11	0.6	0.1	1.18	0.12	2.52	0.12
langres cheese	0.5	-	5.7	-	1.2	-	2.8	-	1.4	-	5.2	-
lasagna	1.21	0.12	3.21	0.17	1.83	0.14	0.34	0.09	1.74	0.14	3.08	0.22
latte with sugar	1.98	0.26	0.05	0.04	0.84	0.21	1.42	0.17	0.02	0.02	1.15	0.15
latte without sugar	0.13	0.13	0	0	0.17	0.17	3.43	0.49	0.17	0.11	1.59	0.24
